Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq Contour (Hz)	Agg Entropy (bits)	Peak Freq (Hz)	IQR BW (Hz)	Unit Type	Contour	Description
20	Spectrogram 1	1	81.342910990	84.034063384	94.2	385.4	2.691	101.6;265.6;261.7;261.7;261.7;257.8;265.6;175.8;277.3;109.4;109.4;148.4;144.5;144.5;148.4;152.3;152.3;160.2;160.2;312.5;316.4;308.6;308.6;277.3;277.3;289.1;289.1;281.2	5.334	308.6	152.3	I	1	gurgle
21	Spectrogram 1	1	86.314811812	88.126164385	205.6	436.8	1.811	328.1;324.2;324.2;332.0;332.0;339.8;343.8;343.8;335.9;335.9;328.1;332.0;332.0;335.9;328.1;328.1;312.5;312.5;285.2	4.585	335.9	15.6	G	1	cry
22	Spectrogram 1	1	88.824828949	90.196281612	162.7	342.6	1.371	226.6;230.5;230.5;261.7;265.6;265.6;273.4;289.1;289.1;293.0;300.8;289.1;179.7;179.7	4.427	265.6	35.2	H	1	ascending moan
23	Spectrogram 1	1	92.654545818	94.051874946	102.8	394.0	1.397	144.5;144.5;144.5;152.3;164.1;312.5;312.5;312.5;312.5;304.7;300.8;300.8;300.8;312.5	4.791	312.5	156.2	E	1	gurgle
24	Spectrogram 1	1	96.683495132	98.339588913	188.4	419.7	1.656	300.8;296.9;300.8;304.7;304.7;300.8;308.6;308.6;332.0;335.9;335.9;335.9;335.9;335.9;332.0;261.7	3.995	308.6	23.4	G	1	cry
25	Spectrogram 1	1	99.659288645	100.771976654	179.9	359.7	1.113	257.8;261.7;265.6;273.4;277.3;277.3;277.3;293.0;277.3;293.0	3.363	277.3	11.7	H	1	ascending moan
26	Spectrogram 1	1	102.935875800	105.264757680	85.7	368.3	2.329	85.9;164.1;328.1;339.8;339.8;339.8;168.0;168.0;343.8;339.8;168.0;171.9;171.9;171.9;171.9;171.9;171.9;168.0;171.9;175.8;175.8;179.7;171.9;93.8	5.107	168.0	168.0	I	1	modulated moan
27	Spectrogram 1	1	107.438380768	109.456745063	197.0	428.3	2.018	367.2;367.2;363.3;363.3;367.2;367.2;367.2;367.2;339.8;328.1;328.1;312.5;296.9;296.9;296.9;293.0;281.2;289.1;289.1;289.1	4.829	367.2	62.5	J	1	descending moan
28	Spectrogram 1	1	110.310668419	111.552738755	239.8	402.6	1.242	343.8;343.8;339.8;339.8;332.0;335.9;335.9;335.9;335.9;347.7;335.9;339.8	4.215	339.8	11.7	K	1	cry
29	Spectrogram 1	1	113.768660682	116.847960057	111.3	445.4	3.079	117.2;168.0;168.0;168.0;168.0;343.8;343.8;343.8;339.8;171.9;171.9;171.9;171.9;171.9;222.7;234.4;113.3;117.2;117.2;253.9;265.6;265.6;265.6;261.7;261.7;261.7;117.2;117.2;273.4;273.4;269.5;175.8	5.113	168.0	136.7	I	1	ascending moan
30	Spectrogram 1	1	117.546624621	118.995706679	222.7	419.7	1.449	332.0;332.0;335.9;332.0;332.0;332.0;328.1;332.0;339.8;339.8;335.9;351.6;335.9;300.8;296.9	3.386	339.8	11.7	K	1	cry
31	Spectrogram 1	1	124.102013652	125.913366225	119.9	411.1	1.811	339.8;328.1;332.0;335.9;335.9;168.0;171.9;168.0;332.0;328.1;328.1;175.8;171.9;171.9;171.9;175.8;175.8;171.9;171.9	4.561	335.9	164.1	I	1	siren
32	Spectrogram 1	1	128.242248105	130.182983005	257.0	445.4	1.941	316.4;312.5;312.5;324.2;324.2;324.2;324.2;324.2;328.1;328.1;328.1;332.0;332.0;332.0;332.0;332.0;332.0;335.9;324.2;324.2	3.391	332.0	7.8	K	1	modulated moan
33	Spectrogram 1	1	134.851604995	136.274810588	94.2	402.6	1.423	332.0;332.0;335.9;168.0;168.0;168.0;168.0;168.0;168.0;335.9;168.0;168.0;312.5;164.1	3.270	168.0	168.0	I	1	modulated moan + upsweep
34	Spectrogram 1	1	137.930363844	140.854404426	222.7	462.5	2.924	308.6;375.0;375.0;378.9;378.9;386.7;386.7;375.0;375.0;378.9;375.0;328.1;386.7;324.2;320.3;320.3;316.4;316.4;316.4;316.4;316.4;316.4;316.4;316.4;312.5;312.5;316.4;316.4;312.5;312.5	4.349	316.4	58.6	J	1	sigh
35	Spectrogram 1	1	141.397810198	142.510498207	188.4	316.9	1.113	238.3;238.3;242.2;253.9;265.6;265.6;261.7;257.8;253.9;257.8;253.9	3.598	265.6	11.7	L	1	cry
36	Spectrogram 1	1	145.149897671	146.702485591	102.8	394.0	1.553	312.5;324.2;328.1;335.9;168.0;168.0;168.0;168.0;168.0;168.0;332.0;168.0;332.0;168.0;168.0	3.717	168.0	164.1	I	1	modulated moan
37	Spectrogram 1	1	148.245349363	149.668554956	308.4	436.8	1.423	363.3;367.2;367.2;367.2;363.3;363.3;367.2;367.2;375.0;375.0;375.0;371.1;367.2;421.9	3.911	367.2	11.7	M	1	modulated moan
38	Spectrogram 1	1	150.729490034	151.402278133	257.0	368.3	0.673	277.3;308.6;308.6;312.5;312.5;312.5	3.469	312.5	7.8	N	1	gurgle
39	Spectrogram 1	1	152.670224934	153.627654151	154.2	274.1	0.957	175.8;234.4;230.5;230.5;230.5;230.5;230.5;230.5;230.5	3.161	230.5	7.8	L	1	modulated moan
40	Spectrogram 1	1	155.640184041	157.348030753	94.2	402.6	1.708	152.3;152.3;304.7;324.2;171.9;171.9;168.0;168.0;168.0;168.0;324.2;171.9;164.1;164.1;324.2;168.0;168.0	4.465	168.0	160.2	I	1	groan
41	Spectrogram 1	1	158.072571782	160.349700731	265.5	436.8	2.277	359.4;351.6;347.7;351.6;351.6;343.8;343.8;343.8;343.8;347.7;339.8;343.8;343.8;339.8;339.8;339.8;339.8;339.8;332.0;339.8;289.1;289.1;289.1	3.762	343.8	7.8	O	1	modulated moan
42	Spectrogram 1	1	160.867230037	162.212806234	197.0	419.7	1.346	312.5;300.8;273.4;265.6;265.6;273.4;277.3;277.3;300.8;300.8;332.0;332.0;320.3;277.3	4.191	277.3	27.3	P	1	ascending moan
43	Spectrogram 1	1	166.289889001	169.265682514	119.9	428.3	2.976	324.2;335.9;347.7;347.7;347.7;171.9;171.9;171.9;335.9;335.9;168.0;168.0;168.0;168.0;343.8;347.7;347.7;351.6;355.5;355.5;355.5;363.3;363.3;363.3;363.3;355.5;359.4;359.4;367.2;363.3;347.7	4.806	168.0	175.8	I	1	cry
44	Spectrogram 1	1	169.783211820	175.683045915	222.7	419.7	5.900	285.2;285.2;285.2;304.7;316.4;316.4;328.1;347.7;347.7;347.7;347.7;367.2;378.9;335.9;296.9;351.6;312.5;308.6;308.6;300.8;289.1;289.1;289.1;289.1;335.9;316.4;312.5;300.8;300.8;296.9;296.9;300.8;300.8;300.8;293.0;293.0;296.9;296.9;308.6;296.9;296.9;293.0;293.0;308.6;308.6;273.4;273.4;277.3;293.0;316.4;316.4;332.0;332.0;351.6;347.7;347.7;324.2;332.0;332.0;234.4;234.4	4.429	296.9	19.5	Q	1	groan
45	Spectrogram 1	1	177.715617864	180.303264397	119.9	419.7	2.588	156.2;363.3;359.4;355.5;355.5;355.5;324.2;351.6;332.0;328.1;328.1;332.0;332.0;168.0;168.0;168.0;168.0;164.1;164.1;164.1;164.1;164.1;175.8;175.8;175.8;175.8;175.8	4.478	328.1	164.1	I	1	descending moan
46	Spectrogram 1	1	182.467433394	185.339721045	145.6	436.8	2.872	269.5;269.5;273.4;261.7;253.9;253.9;261.7;261.7;175.8;359.4;359.4;328.1;328.1;175.8;253.9;242.2;242.2;242.2;242.2;250.0;300.8;289.1;285.2;285.2;246.1;242.2;242.2;230.5;242.2	5.577	242.2	78.1	Q	1	groan
47	Spectrogram 1	1	187.306332410	191.032543418	119.9	471.1	3.726	175.8;308.6;308.6;308.6;320.3;308.6;343.8;343.8;347.7;347.7;351.6;355.5;355.5;367.2;363.3;363.3;375.0;171.9;171.9;171.9;171.9;359.4;328.1;324.2;328.1;335.9;168.0;168.0;335.9;168.0;168.0;168.0;328.1;168.0;168.0;171.9;144.5;144.5;168.0	4.846	168.0	168.0	R	1	cry
48	Spectrogram 1	1	193.827201673	196.828871652	171.3	436.8	3.002	175.8;175.8;175.8;343.8;343.8;175.8;175.8;171.9;277.3;265.6;265.6;234.4;234.4;234.4;234.4;242.2;285.2;285.2;285.2;293.0;293.0;296.9;296.9;273.4;273.4;269.5;293.0;300.8;308.6;175.8;285.2	5.361	273.4	39.1	Q	1	cry
49	Spectrogram 1	1	197.475783285	199.442394650	239.8	394.0	1.967	324.2;332.0;328.1;328.1;328.1;328.1;328.1;328.1;335.9;332.0;332.0;335.9;339.8;335.9;335.9;335.9;335.9;335.9;332.0;359.4	3.760	328.1	7.8	O	1	modulated moan
50	Spectrogram 1	1	200.096275184	201.027827936	222.7	565.3	0.932	492.2;285.2;300.8;300.8;308.6;308.6;257.8;543.0;543.0	5.982	300.8	113.3	S	1	gurgle
51	Spectrogram 1	1	201.364221985	202.813304044	111.3	376.9	1.449	168.0;332.0;168.0;168.0;168.0;168.0;168.0;324.2;332.0;332.0;168.0;332.0;332.0;164.1;164.1	3.367	168.0	160.2	I	1	modulated moan
52	Spectrogram 1	1	203.537845073	204.288262568	188.4	496.8	0.750	277.3;277.3;425.8;425.8;418.0;414.1;421.9	6.024	277.3	132.8	S	1	gurgle
53	Spectrogram 1	1	205.982495596	208.984165574	128.5	411.1	3.002	242.2;242.2;257.8;257.8;257.8;257.8;257.8;257.8;257.8;250.0;253.9;253.9;257.8;257.8;257.8;261.7;312.5;312.5;312.5;312.5;312.5;312.5;312.5;320.3;312.5;312.5;312.5;312.5;312.5;308.6;312.5	4.254	257.8	15.6	T	1	ascending moan
54	Spectrogram 1	1	211.597688573	213.409041146	119.9	411.1	1.811	351.6;168.0;175.8;171.9;171.9;343.8;171.9;171.9;171.9;171.9;171.9;171.9;171.9;171.9;171.9;171.9;171.9;136.7	4.070	171.9	132.8	I	1	modulated moan
55	Spectrogram 1	1	217.003654899	220.600483580	171.3	402.6	3.597	230.5;230.5;234.4;199.2;199.2;238.3;246.1;246.1;250.0;246.1;242.2;242.2;234.4;238.3;238.3;242.2;257.8;253.9;261.7;261.7;351.6;351.6;351.6;351.6;351.6;351.6;351.6;351.6;175.8;230.5;351.6;355.5;351.6;343.8;343.8;324.2;324.2;335.9	4.748	246.1	31.2	T	1	purr + modulated moan
56	Spectrogram 1	1	221.842553916	224.197312261	102.8	385.4	2.355	175.8;175.8;332.0;351.6;355.5;355.5;363.3;179.7;179.7;171.9;171.9;171.9;171.9;171.9;171.9;168.0;171.9;175.8;175.8;300.8;300.8;179.7;371.1;140.6	5.111	171.9	171.9	I	1	descending moan
57	Spectrogram 1	1	226.707329398	229.708999376	179.9	419.7	3.002	324.2;324.2;332.0;332.0;347.7;347.7;347.7;371.1;371.1;371.1;371.1;367.2;230.5;230.5;230.5;230.5;261.7;261.7;253.9;250.0;250.0;246.1;246.1;246.1;242.2;246.1;265.6;253.9;253.9;242.2;250.0	4.755	246.1	27.3	T	1	ascending moan + purr
58	Spectrogram 1	1	232.621101089	234.277194870	111.3	419.7	1.656	355.5;355.5;351.6;175.8;175.8;171.9;328.1;324.2;324.2;328.1;328.1;328.1;164.1;160.2;164.1;164.1	5.001	324.2	164.1	U	1	descending moan
59	Spectrogram 1	1	236.916594334	239.374858540	94.2	411.1	2.458	97.7;332.0;332.0;332.0;335.9;121.1;125.0;125.0;125.0;113.3;117.2;117.2;128.9;128.9;128.9;128.9;132.8;132.8;132.8;136.7;156.2;136.7;136.7;152.3;156.2	5.042	132.8	58.6	I	1	purr
60	Spectrogram 1	1	242.480034380	244.731286863	102.8	402.6	2.251	156.2;156.2;160.2;160.2;328.1;179.7;328.1;332.0;121.1;168.0;168.0;168.0;168.0;171.9;355.5;324.2;324.2;320.3;207.0;160.2;320.3;320.3;320.3	5.197	168.0	156.2	I	1	cry
61	Spectrogram 1	1	246.510658302	251.064916200	85.7	462.5	4.554	97.7;97.7;390.6;390.6;175.8;175.8;175.8;175.8;85.9;394.5;394.5;85.9;402.3;402.3;136.7;136.7;132.8;132.8;132.8;132.8;121.1;132.8;132.8;121.1;121.1;121.1;113.3;121.1;132.8;125.0;132.8;93.8;93.8;109.4;125.0;343.8;343.8;343.8;343.8;85.9;85.9;125.0;85.9;85.9;347.7;93.8;93.8;93.8	5.246	121.1	58.6	V	1	purr
62	Spectrogram 1	1	253.109156961	255.774432890	111.3	394.0	2.665	343.8;347.7;171.9;171.9;347.7;347.7;343.8;171.9;171.9;175.8;171.9;171.9;168.0;335.9;168.0;335.9;335.9;335.9;335.9;324.2;324.2;320.3;320.3;320.3;316.4;113.3;113.3;113.3	5.038	324.2	164.1	I	1	descending moan
63	Spectrogram 1	1	258.796144928	260.064091729	77.1	188.4	1.268	136.7;132.8;132.8;121.1;121.1;121.1;117.2;117.2;117.2;140.6;140.6;113.3;101.6	3.911	117.2	19.5	W	1	purr
64	Spectrogram 1	1	264.437214369	267.387131417	111.3	411.1	2.950	175.8;175.8;171.9;171.9;175.8;359.4;355.5;355.5;351.6;175.8;175.8;171.9;171.9;171.9;328.1;171.9;171.9;171.9;328.1;171.9;171.9;171.9;171.9;171.9;171.9;175.8;175.8;183.6;121.1;121.1;171.9	4.928	171.9	175.8	I	1	descending moan
65	Spectrogram 1	1	270.782107253	273.550889043	54.5	294.3	2.769	156.2;70.3;70.3;66.4;109.4;109.4;78.1;156.2;156.2;156.2;54.7;160.2;160.2;160.2;160.2;54.7;54.7;54.7;199.2;199.2;97.7;70.3;54.7;117.2;117.2;121.1;121.1;54.7	5.034	117.2	78.1	X	1	modulated moan
66	Spectrogram 1	1	275.569253339	278.519170387	123.3	408.5	2.950	175.8;351.6;355.5;351.6;351.6;332.0;359.4;359.4;359.4;359.4;351.6;351.6;175.8;171.9;168.0;168.0;168.0;168.0;328.1;328.1;332.0;332.0;328.1;328.1;324.2;164.1;168.0;168.0;175.8;164.1	4.950	351.6	175.8	I	1	descending moan
67	Spectrogram 1	1	281.513061088	284.747619254	38.5	231.2	3.235	156.2;156.2;156.2;160.2;160.2;43.0;156.2;156.2;152.3;148.4;148.4;144.5;144.5;144.5;46.9;46.9;62.5;43.0;46.9;43.0;43.0;62.5;62.5;70.3;54.7;101.6;105.5;113.3;113.3;109.4;50.8;50.8;54.7;46.9	4.936	113.3	89.8	X	1	groan
68	Spectrogram 1	1	286.558971827	289.224247756	107.9	423.9	2.665	136.7;136.7;359.4;179.7;183.6;183.6;359.4;183.6;363.3;359.4;351.6;351.6;351.6;351.6;351.6;347.7;175.8;171.9;171.9;175.8;175.8;175.8;171.9;351.6;175.8;171.9;171.9;171.9	4.910	351.6	179.7	I	1	descending moan
69	Spectrogram 1	1	292.700337327	296.323042474	46.2	262.0	3.623	144.5;144.5;148.4;148.4;156.2;152.3;152.3;152.3;148.4;148.4;144.5;140.6;148.4;46.9;144.5;50.8;62.5;175.8;46.9;54.7;54.7;54.7;54.7;50.8;50.8;46.9;46.9;54.7;50.8;50.8;97.7;50.8;101.6;101.6;54.7;101.6;46.9	4.960	101.6	93.8	X	1	groan
70	Spectrogram 1	1	297.616865740	300.359771065	123.3	408.5	2.743	175.8;175.8;171.9;347.7;347.7;355.5;351.6;351.6;351.6;347.7;168.0;168.0;332.0;332.0;328.1;324.2;320.3;320.3;320.3;320.3;175.8;175.8;324.2;328.1;328.1;324.2;152.3;156.2	5.102	351.6	171.9	I	1	descending moan
71	Spectrogram 1	1	303.867880131	307.309450019	68.1	179.8	3.442	152.3;156.2;156.2;160.2;156.2;156.2;152.3;144.5;140.6;140.6;101.6;101.6;97.7;97.7;74.2;74.2;70.3;70.3;70.3;109.4;117.2;125.0;125.0;128.9;128.9;128.9;125.0;125.0;128.9;128.9;128.9;109.4;113.3;113.3;105.5	4.494	125.0	35.2	X	1	groan
72	Spectrogram 1	1	308.448014494	312.096596105	136.2	395.1	3.649	304.7;304.7;304.7;304.7;296.9;355.5;355.5;351.6;359.4;359.4;179.7;179.7;175.8;171.9;171.9;171.9;171.9;171.9;171.9;359.4;355.5;355.5;171.9;171.9;175.8;175.8;175.8;171.9;171.9;171.9;175.8;175.8;175.8;175.8;175.8;175.8;175.8;171.9	4.821	171.9	171.9	I	1	modulated moan
73	Spectrogram 1	1	313.972234860	318.837010342	38.1	185.3	4.865	39.1;46.9;46.9;46.9;148.4;148.4;156.2;156.2;156.2;156.2;152.3;152.3;148.4;148.4;148.4;50.8;50.8;46.9;54.7;101.6;101.6;50.8;50.8;50.8;54.7;54.7;39.1;39.1;46.9;46.9;50.8;54.7;54.7;50.8;50.8;43.0;93.8;93.8;97.7;101.6;50.8;97.7;97.7;101.6;43.0;43.0;50.8;117.2;121.1;121.1	4.857	121.1	70.3	X	1	groan
74	Spectrogram 1	1	320.276638515	323.123049701	310.6	457.8	2.846	343.8;343.8;335.9;335.9;335.9;335.9;332.0;332.0;335.9;382.8;355.5;355.5;406.2;406.2;382.8;375.0;375.0;367.2;375.0;378.9;378.9;386.7;386.7;382.8;382.8;382.8;382.8;378.9;378.9	3.343	382.8	7.8	Y	1	cry
75	Spectrogram 1	1	326.542092341	327.835915608	59.9	201.6	1.294	144.5;152.3;152.3;152.3;152.3;148.4;148.4;144.5;144.5;140.6;140.6;101.6	3.709	144.5	11.7	Z	1	sigh
76	Spectrogram 1	1	329.699021111	330.708203259	21.8	174.4	1.009	43.0;23.4;136.7;136.7;132.8;132.8;132.8;125.0;125.0;117.2	4.540	125.0	85.9	Z	1	sigh
77	Spectrogram 1	1	331.432744288	334.227402544	130.8	381.5	2.795	148.4;351.6;351.6;175.8;175.8;175.8;175.8;175.8;175.8;175.8;175.8;175.8;175.8;175.8;175.8;175.8;175.8;171.9;168.0;168.0;179.7;179.7;175.8;164.1;175.8;175.8;175.8;171.9;175.8	4.994	175.8	105.5	I	1	modulated moan
78	Spectrogram 1	1	334.615549524	335.158955296	152.6	299.7	0.543	179.7;179.7;179.7;179.7;179.7	4.180	179.7	39.1	AA	0	gurgle
79	Spectrogram 1	1	336.556284424	337.539590106	130.8	234.3	0.983	179.7;175.8;168.0;171.9;171.9;168.0;168.0;175.8;175.8;175.8	3.174	171.9	7.8	AA	0	gurgle
80	Spectrogram 1	1	339.546015533	340.943344661	59.9	168.9	1.397	62.5;144.5;148.4;144.5;144.5;140.6;140.6;132.8;125.0;132.8;89.8;140.6;132.8;93.8	3.942	140.6	39.1	Z	1	sigh
81	Spectrogram 1	1	342.909956026	345.187084975	16.3	168.9	2.277	43.0;43.0;121.1;121.1;117.2;117.2;113.3;113.3;19.5;43.0;43.0;43.0;43.0;46.9;43.0;43.0;43.0;43.0;43.0;43.0;46.9;23.4;43.0	4.437	117.2	74.2	BB	1	sigh
82	Spectrogram 1	1	345.937502469	346.610290568	98.1	212.5	0.673	156.2;156.2;156.2;156.2;156.2;156.2	3.267	156.2	7.8	AA	0	gurgle
83	Spectrogram 1	1	347.257202201	347.955866765	119.9	234.3	0.699	179.7;179.7;179.7;179.7;179.7;187.5	3.217	179.7	7.8	AA	0	gurgle
84	Spectrogram 1	1	349.586084081	350.181242783	119.9	245.2	0.595	171.9;171.9;171.9;171.9;171.9;203.1	3.733	171.9	7.8	AA	0	gurgle
85	Spectrogram 1	1	353.176808093	354.263619637	38.1	190.7	1.087	39.1;43.0;148.4;140.6;136.7;132.8;132.8;125.0;113.3;66.4	4.582	132.8	43.0	Z	1	sigh
86	Spectrogram 1	1	356.411366259	357.601683664	21.8	147.1	1.190	23.4;23.4;125.0;125.0;117.2;117.2;105.5;70.3;70.3;23.4;23.4;23.4	4.594	117.2	58.6	Z	1	sigh
87	Spectrogram 1	1	358.193223094	359.901069805	103.5	337.9	1.708	179.7;179.7;179.7;175.8;175.8;179.7;179.7;175.8;113.3;175.8;187.5;152.3;148.4;148.4;148.4;148.4;148.4	4.361	148.4	35.2	AA	1	gurgle
88	Spectrogram 1	1	361.660669448	363.549651417	141.7	299.7	1.889	160.2;160.2;171.9;171.9;168.0;171.9;171.9;164.1;179.7;175.8;152.3;175.8;175.8;179.7;175.8;175.8;175.8;175.8;199.2	4.681	171.9	46.9	AA	1	gurgle
89	Spectrogram 1	1	365.312600276	366.528794146	21.8	179.8	1.216	23.4;23.4;23.4;136.7;132.8;132.8;125.0;117.2;117.2;105.5;66.4;35.2	4.689	117.2	58.6	Z	1	sigh
90	Spectrogram 1	1	369.866858174	376.465356833	103.5	299.7	6.598	140.6;183.6;175.8;171.9;171.9;179.7;171.9;171.9;125.0;105.5;105.5;109.4;105.5;105.5;156.2;156.2;171.9;171.9;171.9;179.7;175.8;175.8;175.8;171.9;171.9;171.9;171.9;121.1;175.8;175.8;160.2;183.6;171.9;175.8;175.8;175.8;171.9;105.5;105.5;179.7;179.7;179.7;175.8;175.8;175.8;175.8;175.8;175.8;226.6;226.6;175.8;156.2;156.2;179.7;179.7;179.7;168.0;168.0;175.8;175.8;105.5;175.8;175.8;175.8;179.7;179.7;105.5;168.0;168.0	4.949	179.7	27.3	AA	0	gurgle
91	Spectrogram 1	1	377.878568221	378.965379765	32.7	277.9	1.087	93.8;93.8;74.2;66.4;66.4;43.0;43.0;58.6;43.0;43.0;43.0	5.065	66.4	54.7	CC	1	gurgle
92	Spectrogram 1	1	380.569720616	384.813460930	109.0	283.4	4.244	113.3;207.0;207.0;144.5;261.7;261.7;175.8;175.8;109.4;121.1;121.1;113.3;113.3;140.6;175.8;175.8;175.8;168.0;109.4;125.0;171.9;171.9;148.4;148.4;175.8;175.8;179.7;164.1;207.0;207.0;109.4;125.0;175.8;109.4;171.9;175.8;152.3;152.3;152.3;148.4;171.9;171.9;156.2;156.2	5.139	175.8	50.8	AA	0	gurgle
93	Spectrogram 1	1	386.469554711	390.195765718	87.2	207.1	3.726	171.9;152.3;152.3;152.3;156.2;171.9;160.2;156.2;156.2;156.2;89.8;101.6;105.5;105.5;101.6;105.5;105.5;109.4;105.5;101.6;101.6;101.6;89.8;160.2;160.2;89.8;152.3;89.8;156.2;121.1;117.2;117.2;97.7;117.2;117.2;109.4;101.6;105.5;117.2	4.660	152.3	46.9	AA	1	gurgle
94	Spectrogram 1	1	391.492668144	398.194672665	70.8	316.1	6.702	117.2;117.2;82.0;82.0;82.0;175.8;175.8;105.5;105.5;101.6;97.7;93.8;93.8;97.7;105.5;78.1;78.1;109.4;109.4;109.4;82.0;82.0;78.1;74.2;74.2;78.1;117.2;117.2;179.7;179.7;175.8;93.8;93.8;78.1;109.4;128.9;128.9;78.1;132.8;132.8;140.6;78.1;101.6;78.1;78.1;78.1;171.9;171.9;78.1;78.1;78.1;121.1;89.8;93.8;93.8;179.7;89.8;179.7;101.6;101.6;171.9;89.8;175.8;132.8;136.7;148.4;148.4;148.4;125.0;179.7;175.8	5.445	148.4	74.2	AA	0	gurgle
END
