Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq Contour (Hz)	Agg Entropy (bits)	Peak Freq (Hz)	IQR BW (Hz)	Unit Type	Contour	Description
85	Spectrogram 1	1	351.696182322	352.576059231	27.8	262.4	0.880	31.2;31.2;46.9;54.7;54.7;242.2;54.7;54.7;54.7;54.7;54.7;54.7;140.6;140.6;125.0;62.5;62.5;54.7	4.375	54.7	93.8	S	0	grunt
115	Spectrogram 1	1	462.138934736	463.018811645	167.0	862.8	0.880	367.2;203.1;226.6;210.9;226.6;250.0;320.3;320.3;218.8;242.2;242.2;257.8;250.0;234.4;234.4;531.2;218.8;218.8	5.239	320.3	109.4	N	0	gurgle
74	Spectrogram 1	1	327.980752709	328.900624022	43.7	230.6	0.920	101.6;101.6;54.7;109.4;109.4;62.5;62.5;148.4;148.4;62.5;62.5;62.5;62.5;140.6;148.4;148.4;54.7;132.8;62.5	4.191	62.5	93.8	S	0	grunt
73	Spectrogram 1	1	326.580948536	327.500819850	39.8	210.7	0.920	46.9;54.7;54.7;54.7;46.9;46.9;46.9;46.9;148.4;148.4;54.7;125.0;140.6;148.4;54.7;54.7;54.7;54.7	3.908	46.9	101.6	S	0	grunt
93	Spectrogram 1	1	372.441254590	373.401120308	99.4	302.2	0.960	171.9;164.1;226.6;226.6;164.1;210.9;210.9;109.4;179.7;179.7;171.9;179.7;179.7;179.7;171.9;171.9;187.5;187.5;273.4	4.240	226.6	62.5	S	0	grunt
70	Spectrogram 1	1	320.181843748	321.141709466	39.8	206.8	0.960	93.8;125.0;125.0;125.0;148.4;156.2;156.2;179.7;140.6;187.5;187.5;148.4;148.4;179.7;187.5;46.9;46.9;156.2;156.2;156.2	3.993	156.2	39.1	S	0	grunt
76	Spectrogram 1	1	330.740366649	331.700232367	27.8	250.5	0.960	109.4;109.4;117.2;171.9;54.7;54.7;54.7;117.2;54.7;54.7;54.7;117.2;109.4;109.4;54.7;54.7;54.7;46.9;109.4;54.7	4.033	54.7	62.5	S	0	grunt
99	Spectrogram 1	1	389.106063079	390.065928797	79.5	226.6	0.960	93.8;101.6;101.6;101.6;101.6;101.6;125.0;148.4;164.1;132.8;156.2;156.2;179.7;179.7;171.9;171.9;171.9;179.7;164.1;164.1	3.828	179.7	39.1	S	0	grunt
61	Spectrogram 1	1	300.205264740	301.165130459	61.9	511.7	0.960	93.8;117.2;125.0;132.8;195.3;195.3;187.5;210.9;210.9;234.4;218.8;218.8;234.4;203.1;203.1;250.0;70.3;70.3;187.5	4.637	210.9	54.7	S	0	grunt
79	Spectrogram 1	1	340.297776918	341.297637041	51.7	226.6	1.000	187.5;125.0;117.2;85.9;117.2;125.0;148.4;148.4;164.1;140.6;140.6;171.9;117.2;140.6;171.9;171.9;171.9;125.0;101.6;93.8;148.4	4.000	140.6	46.9	S	0	grunt
98	Spectrogram 1	1	386.746393188	387.746253311	83.5	194.8	1.000	117.2;140.6;125.0;132.8;148.4;156.2;156.2;164.1;156.2;156.2;156.2;156.2;156.2;156.2;156.2;164.1;156.2;156.2;156.2;156.2	2.805	156.2	15.6	S	0	grunt
75	Spectrogram 1	1	329.220579261	330.220439385	47.7	238.6	1.000	54.7;179.7;93.8;93.8;93.8;85.9;85.9;210.9;210.9;203.1;210.9;210.9;101.6;101.6;101.6;101.6;101.6;85.9;85.9;85.9	3.855	210.9	117.2	S	0	grunt
81	Spectrogram 1	1	345.017116699	346.016976823	23.9	270.4	1.000	70.3;140.6;148.4;148.4;234.4;234.4;148.4;117.2;46.9;46.9;46.9;226.6;54.7;54.7;31.2;148.4;148.4;39.1;179.7;31.2	4.743	148.4	125.0	S	0	grunt
90	Spectrogram 1	1	366.802043495	367.841898023	95.4	202.8	1.040	148.4;156.2;156.2;164.1;164.1;164.1;171.9;148.4;156.2;164.1;164.1;164.1;179.7;132.8;164.1;164.1;164.1;156.2;156.2;164.1;164.1	2.787	156.2	15.6	S	0	grunt
7	Spectrogram 1	1	36.493850528	37.533705056	343.0	657.9	1.040	570.3;382.8;414.1;515.6;515.6;648.4;632.8;632.8;632.8;632.8;632.8;632.8;632.8;632.8;625.0;625.0;632.8;632.8;625.0;539.1;539.1	4.717	515.6	132.8	B	1	modulated moan
62	Spectrogram 1	1	302.324968201	303.364822730	78.7	478.0	1.040	265.6;265.6;437.5;156.2;140.6;156.2;156.2;218.8;156.2;156.2;171.9;218.8;226.6;203.1;203.1;164.1;171.9;148.4;171.9;195.3;195.3	4.453	156.2	54.7	S	0	grunt
60	Spectrogram 1	1	298.525499733	299.605348666	101.2	433.0	1.080	226.6;171.9;179.7;179.7;187.5;195.3;210.9;210.9;179.7;218.8;218.8;218.8;203.1;203.1;406.2;406.2;406.2;171.9;210.9;195.3;187.5;187.5	3.977	210.9	31.2	S	0	grunt
91	Spectrogram 1	1	369.041730171	370.121579104	111.3	648.1	1.080	140.6;148.4;156.2;156.2;148.4;171.9;171.9;148.4;148.4;632.8;632.8;640.6;320.3;320.3;312.5;304.7;554.7;531.2;523.4;523.4;507.8;500.0	5.140	156.2	289.1	S	1	cry
103	Spectrogram 1	1	401.584317417	402.664166350	230.6	870.8	1.080	843.8;414.1;414.1;851.6;851.6;406.2;437.5;437.5;812.5;812.5;414.1;406.2;406.2;406.2;398.4;382.8;343.8;343.8;312.5;375.0;375.0;351.6	4.832	406.2	62.5	L	1	descending moan
4	Spectrogram 1	1	19.597258415	20.677107348	331.8	579.2	1.080	546.9;546.9;507.8;500.0;500.0;359.4;359.4;421.9;421.9;351.6;484.4;484.4;507.8;406.2;406.2;500.0;476.6;476.6;406.2;429.7;414.1;398.4	4.849	484.4	101.6	B	1	bark
11	Spectrogram 1	1	61.664107946	62.743956879	269.9	747.9	1.080	351.6;312.5;343.8;343.8;656.2;656.2;656.2;679.7;679.7;679.7;687.5;687.5;687.5;718.8;718.8;703.1;703.1;703.1;710.9;710.9;710.9;710.9	5.263	656.2	203.1	D	1	ascending moan
82	Spectrogram 1	1	346.696881706	347.816725044	35.8	278.3	1.120	101.6;101.6;101.6;46.9;54.7;54.7;54.7;234.4;54.7;54.7;54.7;234.4;234.4;117.2;226.6;39.1;54.7;54.7;54.7;54.7;54.7;54.7;54.7	4.590	54.7	132.8	S	0	grunt
132	Spectrogram 1	1	521.834469887	522.954313225	242.5	421.5	1.120	273.4;328.1;328.1;296.9;296.9;328.1;351.6;351.6;320.3;320.3;343.8;343.8;328.1;328.1;281.2;281.2;375.0;304.7;320.3;320.3;375.0;335.9;335.9	4.137	320.3	39.1	O	0	grunts
159	Spectrogram 1	1	616.276999722	617.416840263	604.4	1049.7	1.140	664.1;914.1;781.2;781.2;1000.0;1000.0;703.1;742.2;742.2;1007.8;1007.8;781.2;929.7;929.7;679.7;914.1;742.2;742.2;703.1;843.8;929.7;703.1;734.4	5.787	929.7	203.1	J	1	wops
83	Spectrogram 1	1	348.496629928	349.656467671	31.8	250.5	1.160	93.8;93.8;93.8;46.9;46.9;46.9;46.9;46.9;46.9;46.9;46.9;46.9;46.9;46.9;46.9;39.1;70.3;70.3;46.9;46.9;54.7;62.5;70.3;70.3	3.894	46.9	78.1	S	0	grunt
105	Spectrogram 1	1	407.994192950	409.154030693	107.4	242.5	1.160	148.4;171.9;164.1;164.1;164.1;171.9;171.9;179.7;179.7;187.5;195.3;179.7;179.7;171.9;210.9;171.9;171.9;171.9;187.5;187.5;187.5;187.5;195.3;179.7	3.443	179.7	23.4	S	0	grunt
48	Spectrogram 1	1	157.048758364	158.248590512	809.7	1748.8	1.200	1039.1;1125.0;828.1;1671.9;843.8;851.6;851.6;1679.7;859.4;859.4;859.4;867.2;867.2;867.2;859.4;859.4;859.4;1726.6;1726.6;859.4;859.4;867.2;867.2;1023.4	6.608	859.4	570.3	I	1	modulated cry
107	Spectrogram 1	1	413.793381665	414.993213813	111.3	254.5	1.200	164.1;117.2;117.2;117.2;171.9;156.2;156.2;171.9;171.9;187.5;203.1;210.9;210.9;210.9;210.9;210.9;218.8;218.8;210.9;218.8;210.9;210.9;187.5;195.3;203.1	3.252	210.9	31.2	S	0	grunt
96	Spectrogram 1	1	381.867075787	383.066907935	91.5	258.4	1.200	125.0;125.0;125.0;148.4;156.2;156.2;171.9;218.8;218.8;179.7;179.7;179.7;179.7;179.7;171.9;171.9;179.7;179.7;171.9;171.9;179.7;179.7;171.9;171.9;250.0	3.835	179.7	31.2	S	0	grunt
101	Spectrogram 1	1	393.785408456	395.025235008	83.5	198.8	1.240	85.9;85.9;125.0;125.0;85.9;140.6;125.0;140.6;148.4;156.2;156.2;156.2;156.2;171.9;148.4;148.4;164.1;179.7;179.7;179.7;171.9;171.9;156.2;156.2;171.9;156.2	3.384	156.2	23.4	S	0	grunt
100	Spectrogram 1	1	391.465732970	392.705559522	87.5	210.7	1.240	117.2;140.6;117.2;109.4;109.4;117.2;117.2;117.2;117.2;117.2;148.4;148.4;156.2;156.2;164.1;164.1;171.9;148.4;148.4;156.2;171.9;117.2;125.0;156.2;156.2	3.432	148.4	46.9	S	0	grunt
118	Spectrogram 1	1	472.245495611	473.485322164	59.6	695.8	1.240	265.6;93.8;93.8;281.2;265.6;250.0;257.8;265.6;265.6;312.5;312.5;312.5;312.5;320.3;296.9;312.5;320.3;320.3;312.5;312.5;304.7;320.3;101.6;296.9;101.6;101.6	5.215	320.3	70.3	M	1	growl
152	Spectrogram 1	1	593.599990162	594.859813917	592.4	966.2	1.260	734.4;750.0;750.0;664.1;664.1;703.1;703.1;625.0;679.7;765.6;765.6;750.0;757.8;742.2;742.2;703.1;703.1;726.6;851.6;851.6;773.4;710.9;710.9;718.8;718.8;593.8	5.496	765.6	132.8	J	1	wops
58	Spectrogram 1	1	293.926143167	295.205964124	118.1	500.5	1.280	453.1;453.1;171.9;187.5;171.9;171.9;195.3;210.9;210.9;226.6;195.3;218.8;218.8;195.3;195.3;218.8;226.6;171.9;171.9;195.3;195.3;195.3;195.3;187.5;187.5;210.9	4.204	210.9	31.2	S	0	grunt
97	Spectrogram 1	1	384.426717702	385.706538660	79.5	210.7	1.280	109.4;140.6;117.2;140.6;156.2;164.1;164.1;164.1;156.2;156.2;156.2;156.2;179.7;171.9;171.9;179.7;179.7;156.2;171.9;171.9;164.1;164.1;203.1;164.1;164.1;164.1	3.350	164.1	23.4	S	0	grunt
122	Spectrogram 1	1	490.416920447	491.716738607	67.6	699.8	1.300	289.1;296.9;296.9;304.7;289.1;289.1;296.9;304.7;351.6;351.6;296.9;296.9;367.2;367.2;343.8;343.8;328.1;328.1;382.8;312.5;312.5;101.6;351.6;312.5;351.6;335.9	5.463	343.8	78.1	M	1	growl
16	Spectrogram 1	1	88.773050033	90.092865396	230.5	809.7	1.320	257.8;265.6;257.8;250.0;250.0;312.5;312.5;570.3;617.2;601.6;601.6;593.8;578.1;593.8;578.1;578.1;585.9;710.9;593.8;593.8;578.1;578.1;781.2;781.2;609.4;781.2;781.2	5.320	312.5	265.6	D	1	ascending moan
106	Spectrogram 1	1	410.793801295	412.113616658	111.3	258.4	1.320	148.4;117.2;117.2;171.9;164.1;164.1;171.9;203.1;210.9;226.6;234.4;234.4;210.9;218.8;179.7;226.6;226.6;226.6;226.6;226.6;171.9;171.9;218.8;218.8;218.8;179.7;164.1	3.579	234.4	46.9	S	0	grunt
121	Spectrogram 1	1	486.337491144	487.677303709	79.5	540.8	1.340	312.5;312.5;304.7;320.3;320.3;296.9;304.7;304.7;304.7;304.7;312.5;312.5;296.9;312.5;312.5;312.5;312.5;320.3;289.1;320.3;320.3;351.6;320.3;320.3;304.7;109.4;304.7	4.864	312.5	62.5	M	1	growl
104	Spectrogram 1	1	404.914623771	406.274433538	83.5	254.5	1.360	132.8;148.4;148.4;187.5;203.1;210.9;203.1;203.1;210.9;210.9;210.9;218.8;218.8;218.8;226.6;218.8;218.8;226.6;226.6;218.8;210.9;210.9;210.9;210.9;218.8;117.2;218.8;218.8	3.408	210.9	31.2	S	0	grunt
59	Spectrogram 1	1	296.285813057	297.645622825	123.7	489.2	1.360	125.0;468.8;148.4;164.1;132.8;164.1;171.9;171.9;195.3;210.9;210.9;210.9;187.5;210.9;210.9;203.1;203.1;187.5;203.1;203.1;179.7;179.7;187.5;171.9;171.9;195.3;289.1;164.1	4.166	210.9	31.2	S	0	grunt
68	Spectrogram 1	1	314.643244919	316.003054687	253.0	584.8	1.360	281.2;367.2;500.0;320.3;460.9;460.9;421.9;421.9;421.9;421.9;421.9;414.1;421.9;421.9;390.6;375.0;375.0;320.3;320.3;382.8;335.9;335.9;375.0;304.7;296.9;304.7;312.5;304.7	4.554	320.3	78.1	L	1	descending moan
134	Spectrogram 1	1	535.897668911	537.257478679	274.4	437.4	1.360	312.5;421.9;421.9;328.1;335.9;390.6;390.6;335.9;335.9;335.9;328.1;367.2;414.1;328.1;328.1;320.3;328.1;328.1;312.5;328.1;328.1;335.9;312.5;320.3;328.1;328.1;398.4;390.6	4.010	328.1	54.7	O	1	grunts
13	Spectrogram 1	1	74.881632520	76.241442288	258.7	787.2	1.360	289.1;515.6;335.9;335.9;468.8;593.8;593.8;585.9;578.1;585.9;585.9;585.9;585.9;585.9;687.5;710.9;710.9;742.2;742.2;742.2;703.1;703.1;695.3;718.8;718.8;742.2;585.9;585.9	5.312	585.9	250.0	D	1	ascending moan
128	Spectrogram 1	1	509.309413950	510.689220920	43.7	723.7	1.380	265.6;328.1;289.1;265.6;257.8;257.8;265.6;265.6;289.1;335.9;343.8;351.6;351.6;335.9;320.3;320.3;335.9;351.6;351.6;289.1;335.9;335.9;320.3;70.3;296.9;132.8;46.9;70.3	5.573	320.3	78.1	M	1	growl
44	Spectrogram 1	1	188.506320162	189.906124334	708.5	1540.7	1.400	898.4;1101.6;976.6;976.6;851.6;851.6;757.8;757.8;1164.1;1164.1;765.6;765.6;750.0;750.0;750.0;750.0;750.0;750.0;750.0;742.2;742.2;734.4;734.4;726.6;726.6;734.4;945.3;757.8;757.8	6.522	750.0	468.8	I	1	modulated cry
127	Spectrogram 1	1	505.249981849	506.669783224	51.7	882.7	1.420	281.2;289.1;289.1;281.2;289.1;320.3;320.3;296.9;304.7;304.7;367.2;390.6;375.0;375.0;375.0;328.1;367.2;382.8;382.8;382.8;390.6;390.6;367.2;367.2;359.4;359.4;375.0;359.4;359.4	5.920	359.4	117.2	M	1	growl
40	Spectrogram 1	1	220.745734541	222.185533118	888.5	1923.1	1.440	906.2;929.7;929.7;937.5;937.5;945.3;937.5;937.5;945.3;937.5;937.5;937.5;937.5;937.5;937.5;929.7;929.7;929.7;929.7;929.7;929.7;929.7;929.7;929.7;929.7;921.9;1132.8;929.7;929.7	5.583	937.5	414.1	I	1	modulated cry
42	Spectrogram 1	1	204.460664359	205.900462936	725.4	1597.0	1.440	1515.6;757.8;757.8;757.8;757.8;765.6;765.6;757.8;757.8;781.2;765.6;781.2;781.2;781.2;789.1;789.1;789.1;789.1;1578.1;953.1;789.1;789.1;789.1;781.2;781.2;867.2;867.2;984.4;773.4;1148.4	6.523	757.8	546.9	I	1	modulated cry
38	Spectrogram 1	1	236.543524487	237.983323065	860.3	1805.0	1.440	890.6;890.6;882.8;882.8;1757.8;1765.6;1765.6;890.6;890.6;898.4;898.4;906.2;898.4;890.6;890.6;890.6;890.6;890.6;890.6;890.6;890.6;890.6;890.6;1773.4;882.8;1046.9;1046.9;890.6;890.6	5.901	1765.6	718.8	I	1	modulated cry
78	Spectrogram 1	1	337.101647893	338.581440875	294.2	544.7	1.480	429.7;468.8;468.8;507.8;507.8;507.8;468.8;437.5;437.5;421.9;421.9;421.9;421.9;421.9;421.9;414.1;406.2;382.8;421.9;390.6;390.6;421.9;414.1;375.0;375.0;367.2;367.2;421.9;406.2;375.0;375.0	3.870	421.9	23.4	L	1	descending moan
148	Spectrogram 1	1	573.965959282	575.445752264	608.3	1129.2	1.480	1054.7;960.9;960.9;1023.4;1023.4;796.9;796.9;867.2;1031.2;1031.2;789.1;789.1;726.6;796.9;796.9;875.0;875.0;695.3;695.3;625.0;625.0;875.0;875.0;742.2;742.2;781.2;828.1;796.9;968.8;968.8;679.7	6.031	742.2	242.2	J	1	wops
139	Spectrogram 1	1	553.308667478	554.788460461	242.5	516.9	1.480	265.6;265.6;375.0;281.2;281.2;281.2;281.2;289.1;289.1;265.6;304.7;273.4;273.4;273.4;453.1;304.7;304.7;312.5;312.5;296.9;328.1;328.1;312.5;296.9;281.2;320.3;320.3;460.9;296.9;296.9;296.9	4.895	328.1	132.8	Q	1	growl
18	Spectrogram 1	1	99.693693439	101.213480826	230.5	776.0	1.520	250.0;257.8;250.0;250.0;312.5;312.5;265.6;265.6;257.8;351.6;664.1;375.0;375.0;656.2;640.6;648.4;656.2;671.9;671.9;703.1;703.1;726.6;734.4;734.4;734.4;734.4;718.8;679.7;679.7;703.1;734.4;734.4	5.212	312.5	242.2	D	1	ascending moan
47	Spectrogram 1	1	154.409127639	155.928915026	674.8	1557.6	1.520	765.6;1515.6;1515.6;757.8;757.8;765.6;1523.4;757.8;757.8;757.8;757.8;757.8;757.8;1515.6;750.0;750.0;750.0;750.0;750.0;750.0;750.0;742.2;742.2;742.2;742.2;734.4;726.6;710.9;710.9;742.2;976.6	6.218	750.0	523.4	I	1	modulated cry
9	Spectrogram 1	1	55.624952801	57.144740189	545.4	770.4	1.520	625.0;695.3;695.3;695.3;632.8;609.4;609.4;601.6;601.6;601.6;585.9;585.9;585.9;585.9;585.9;585.9;585.9;585.9;601.6;578.1;578.1;578.1;593.8;593.8;585.9;601.6;757.8;757.8;578.1;578.1;578.1;695.3	3.165	585.9	23.4	C	1	cry
87	Spectrogram 1	1	358.443212865	360.002994657	242.5	902.6	1.560	851.6;281.2;414.1;414.1;437.5;406.2;414.1;414.1;406.2;414.1;406.2;406.2;406.2;398.4;398.4;390.6;390.6;367.2;359.4;359.4;343.8;390.6;382.8;382.8;367.2;367.2;398.4;390.6;390.6;390.6;375.0;367.2;367.2	4.695	398.4	46.9	L	1	descending moan
19	Spectrogram 1	1	102.213340950	103.773122742	213.7	686.0	1.560	234.4;234.4;226.6;226.6;226.6;234.4;250.0;250.0;234.4;234.4;257.8;257.8;234.4;234.4;234.4;585.9;562.5;562.5;562.5;562.5;562.5;546.9;546.9;539.1;546.9;593.8;593.8;539.1;585.9;578.1;226.6;226.6	5.003	250.0	304.7	D	1	cry
10	Spectrogram 1	1	58.824505196	60.384286988	343.0	753.5	1.560	468.8;468.8;382.8;601.6;664.1;664.1;687.5;710.9;695.3;679.7;640.6;640.6;640.6;632.8;632.8;640.6;640.6;648.4;656.2;656.2;656.2;664.1;664.1;640.6;640.6;640.6;656.2;656.2;656.2;664.1;671.9;671.9;632.8	4.697	664.1	46.9	D	1	cry
80	Spectrogram 1	1	342.897413238	344.497189435	47.7	338.0	1.600	132.8;156.2;156.2;171.9;156.2;156.2;171.9;140.6;140.6;187.5;187.5;156.2;289.1;289.1;304.7;304.7;304.7;304.7;304.7;312.5;304.7;304.7;304.7;304.7;304.7;304.7;304.7;304.7;304.7;304.7;312.5;304.7;70.3	4.618	156.2	62.5	S	0	grunt + modulated moan
141	Spectrogram 1	1	559.367819825	561.007590427	242.5	473.2	1.640	367.2;265.6;265.6;281.2;281.2;265.6;281.2;281.2;281.2;289.1;273.4;273.4;289.1;281.2;281.2;281.2;273.4;273.4;273.4;273.4;273.4;273.4;273.4;289.1;289.1;289.1;273.4;304.7;304.7;335.9;335.9;273.4;312.5;312.5	4.430	281.2	101.6	Q	1	low yaps
28	Spectrogram 1	1	166.792781974	168.472546981	258.7	399.2	1.680	351.6;312.5;351.6;351.6;359.4;359.4;375.0;375.0;375.0;375.0;367.2;367.2;375.0;367.2;367.2;359.4;359.4;359.4;359.4;359.4;359.4;359.4;359.4;312.5;312.5;304.7;312.5;343.8;359.4;359.4;312.5;359.4;304.7;351.6;351.6	3.032	359.4	15.6	H	1	cry
32	Spectrogram 1	1	198.438709302	200.118474309	258.7	444.2	1.680	289.1;296.9;312.5;312.5;375.0;406.2;390.6;390.6;390.6;390.6;382.8;375.0;375.0;367.2;351.6;351.6;343.8;351.6;351.6;343.8;320.3;343.8;343.8;343.8;328.1;335.9;359.4;359.4;367.2;320.3;359.4;359.4;351.6;351.6;382.8	3.715	375.0	31.2	H	1	cry
55	Spectrogram 1	1	276.798184827	278.477949834	208.1	331.8	1.680	257.8;265.6;273.4;273.4;289.1;289.1;296.9;289.1;289.1;289.1;289.1;289.1;289.1;289.1;289.1;289.1;289.1;289.1;289.1;289.1;289.1;289.1;289.1;289.1;289.1;281.2;273.4;273.4;281.2;289.1;289.1;289.1;289.1;289.1	2.324	289.1	15.6	H	1	modulated moan
