Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq Contour (Hz)	Agg Entropy (bits)	Peak Freq (Hz)	IQR BW (Hz)	Description
11	Spectrogram 1	1	121.069892227	124.312835769	313.8	393.6	3.243	367.2;367.2;328.1;367.2;359.4;359.4;363.3;335.9;375.0;386.7;332.0;335.9;335.9;339.8;347.7;347.7;351.6;347.7;347.7;347.7;347.7;347.7;351.6;351.6;347.7;347.7;347.7;332.0;328.1;328.1;328.1;328.1;328.1;335.9;343.8;351.6;351.6;351.6;351.6;351.6;351.6	2.575	347.7	7.8	descending moan
12	Spectrogram 1	1	132.600358153	135.482974635	310.3	377.7	2.883	320.3;347.7;347.7;332.0;347.7;347.7;347.7;335.9;335.9;320.3;335.9;343.8;343.8;339.8;339.8;339.8;339.8;351.6;351.6;351.6;351.6;355.5;339.8;339.8;339.8;332.0;347.7;339.8;339.8;339.8;351.6;343.8;347.7;347.7;351.6;343.8	2.958	351.6	11.7	descending moan
13	Spectrogram 1	1	139.086245237	143.770497019	283.7	462.8	4.684	421.9;343.8;359.4;359.4;351.6;355.5;351.6;351.6;351.6;339.8;339.8;394.5;293.0;351.6;351.6;351.6;285.2;285.2;289.1;441.4;437.5;437.5;457.0;441.4;437.5;441.4;433.6;433.6;425.8;421.9;410.2;402.3;402.3;394.5;367.2;367.2;347.7;335.9;335.9;328.1;312.5;312.5;308.6;332.0;312.5;312.5;343.8;441.4;359.4;332.0;433.6;394.5;394.5;355.5;355.5;328.1;328.1;335.9;347.7	4.971	402.3	58.6	descending moan
14	Spectrogram 1	1	143.770497019	147.373767621	297.9	352.8	3.603	335.9;312.5;343.8;343.8;351.6;343.8;339.8;339.8;304.7;304.7;324.2;347.7;347.7;328.1;328.1;328.1;339.8;347.7;347.7;335.9;335.9;335.9;332.0;328.1;328.1;328.1;339.8;328.1;328.1;328.1;332.0;332.0;324.2;324.2;335.9;335.9;335.9;332.0;335.9;335.9;332.0;332.0;328.1;332.0;335.9	3.041	328.1	11.7	descending moan
15	Spectrogram 1	1	150.977038223	154.580308825	352.8	459.2	3.603	414.1;421.9;421.9;453.1;402.3;367.2;367.2;402.3;402.3;398.4;390.6;390.6;421.9;414.1;406.2;398.4;418.0;441.4;453.1;453.1;453.1;453.1;449.2;433.6;433.6;429.7;429.7;429.7;421.9;418.0;414.1;410.2;410.2;402.3;398.4;394.5;406.2;406.2;398.4;402.3;382.8;382.8;402.3;421.9;421.9	3.704	410.2	11.7	descending moan
16	Spectrogram 1	1	155.661290006	158.543906487	299.6	342.2	2.883	332.0;332.0;308.6;308.6;312.5;324.2;339.8;300.8;300.8;332.0;304.7;304.7;304.7;304.7;328.1;324.2;328.1;332.0;332.0;332.0;324.2;324.2;332.0;332.0;332.0;328.1;324.2;320.3;332.0;320.3;320.3;332.0;332.0;332.0;328.1;328.1	2.488	332.0	7.8	ascending moan
17	Spectrogram 1	1	163.228158270	167.191755932	333.3	487.6	3.964	394.5;394.5;472.7;339.8;421.9;421.9;421.9;445.3;445.3;480.5;484.4;437.5;433.6;433.6;433.6;433.6;429.7;429.7;421.9;418.0;418.0;414.1;410.2;410.2;406.2;402.3;378.9;378.9;355.5;355.5;343.8;343.8;410.2;347.7;347.7;343.8;410.2;410.2;418.0;418.0;402.3;418.0;418.0;418.0;418.0;433.6;410.2;390.6;390.6;464.8	3.743	410.2	11.7	descending moan
18	Spectrogram 1	1	167.191755932	170.434699474	290.8	340.4	3.243	316.4;316.4;328.1;304.7;304.7;304.7;312.5;300.8;300.8;335.9;300.8;300.8;308.6;308.6;312.5;324.2;328.1;332.0;332.0;332.0;328.1;328.1;320.3;332.0;328.1;328.1;320.3;320.3;324.2;328.1;328.1;320.3;320.3;320.3;320.3;312.5;332.0;332.0;328.1;328.1	2.419	328.1	7.8	ascending moan
19	Spectrogram 1	1	175.118951257	178.361894798	324.5	459.2	3.243	445.3;433.6;414.1;414.1;445.3;457.0;449.2;441.4;437.5;441.4;441.4;437.5;425.8;421.9;418.0;418.0;414.1;406.2;402.3;402.3;398.4;390.6;386.7;355.5;347.7;347.7;335.9;335.9;335.9;339.8;359.4;339.8;410.2;414.1;351.6;414.1;414.1;343.8;343.8;421.9;402.3	4.225	402.3	19.5	descending moan
20	Spectrogram 1	1	179.082548919	181.604838340	299.6	340.4	2.522	300.8;300.8;328.1;339.8;339.8;335.9;335.9;328.1;339.8;300.8;308.6;308.6;312.5;312.5;316.4;324.2;324.2;324.2;328.1;324.2;324.2;324.2;328.1;328.1;324.2;324.2;320.3;320.3;324.2;324.2;328.1	2.559	324.2	3.9	ascending moan
21	Spectrogram 1	1	186.289090123	189.892360725	301.4	434.4	3.603	414.1;414.1;406.2;406.2;418.0;418.0;421.9;433.6;421.9;418.0;418.0;406.2;402.3;398.4;398.4;386.7;386.7;382.8;386.7;382.8;382.8;375.0;375.0;375.0;367.2;367.2;359.4;343.8;339.8;339.8;328.1;316.4;316.4;316.4;312.5;316.4;316.4;320.3;312.5;332.0;316.4;316.4;359.4;359.4;375.0	4.438	339.8	27.3	descending moan
22	Spectrogram 1	1	190.252687785	193.855958387	289.0	322.7	3.603	289.1;316.4;289.1;320.3;320.3;316.4;304.7;312.5;316.4;316.4;316.4;308.6;293.0;304.7;296.9;304.7;308.6;312.5;308.6;308.6;312.5;312.5;312.5;312.5;312.5;312.5;312.5;312.5;312.5;312.5;312.5;312.5;312.5;316.4;316.4;312.5;312.5;312.5;312.5;312.5;312.5;316.4;312.5;316.4;312.5	2.252	312.5	7.8	ascending moan
23	Spectrogram 1	1	197.819556049	202.864134892	290.8	430.9	5.045	312.5;421.9;414.1;410.2;406.2;414.1;414.1;410.2;410.2;410.2;398.4;390.6;390.6;386.7;386.7;386.7;386.7;386.7;390.6;382.8;382.8;367.2;359.4;359.4;339.8;339.8;328.1;328.1;324.2;332.0;332.0;328.1;312.5;312.5;324.2;316.4;312.5;312.5;304.7;304.7;300.8;332.0;332.0;308.6;308.6;304.7;316.4;316.4;316.4;316.4;308.6;312.5;312.5;316.4;316.4;316.4;316.4;316.4;363.3;363.3;312.5;316.4;316.4	4.797	328.1	58.6	descending moan
24	Spectrogram 1	1	203.224461952	205.746751373	276.6	326.2	2.522	308.6;308.6;312.5;316.4;308.6;308.6;308.6;308.6;308.6;308.6;304.7;300.8;300.8;300.8;304.7;304.7;304.7;304.7;308.6;308.6;308.6;308.6;304.7;304.7;308.6;308.6;304.7;308.6;304.7;304.7;304.7	2.448	308.6	3.9	descending moan
25	Spectrogram 1	1	209.350021975	214.754927878	285.5	368.8	5.405	304.7;304.7;300.8;351.6;304.7;304.7;304.7;363.3;367.2;367.2;363.3;351.6;351.6;351.6;355.5;363.3;367.2;367.2;367.2;367.2;359.4;359.4;355.5;351.6;351.6;355.5;355.5;351.6;343.8;343.8;343.8;343.8;343.8;339.8;339.8;339.8;335.9;335.9;335.9;339.8;335.9;335.9;339.8;332.0;339.8;312.5;312.5;304.7;304.7;300.8;296.9;296.9;296.9;304.7;335.9;300.8;304.7;304.7;304.7;308.6;320.3;339.8;339.8;339.8;300.8;335.9;304.7;304.7	3.334	335.9	11.7	descending moan
26	Spectrogram 1	1	215.115254939	218.358198480	283.7	310.3	3.243	285.2;285.2;285.2;304.7;300.8;300.8;296.9;300.8;304.7;296.9;296.9;296.9;296.9;296.9;293.0;296.9;296.9;300.8;300.8;300.8;300.8;300.8;300.8;296.9;300.8;296.9;296.9;296.9;296.9;296.9;296.9;296.9;296.9;296.9;300.8;300.8;300.8;300.8;300.8;300.8	2.171	300.8	3.9	descending moan
27	Spectrogram 1	1	221.271900736	226.316479578	290.7	369.9	5.045	296.9;304.7;300.8;296.9;296.9;296.9;296.9;296.9;300.8;300.8;367.2;367.2;367.2;363.3;367.2;367.2;359.4;355.5;355.5;359.4;351.6;347.7;351.6;355.5;355.5;359.4;351.6;351.6;351.6;351.6;351.6;351.6;343.8;339.8;339.8;332.0;332.0;328.1;332.0;332.0;320.3;320.3;320.3;316.4;308.6;308.6;304.7;304.7;304.7;308.6;304.7;308.6;308.6;304.7;320.3;320.3;332.0;332.0;320.3;320.3;320.3;320.3;312.5	3.973	339.8	23.4	descending moan
28	Spectrogram 1	1	225.956152518	229.919750180	286.6	325.2	3.964	320.3;320.3;312.5;312.5;324.2;300.8;300.8;304.7;304.7;304.7;316.4;316.4;324.2;308.6;304.7;304.7;304.7;304.7;289.1;289.1;289.1;289.1;320.3;320.3;312.5;312.5;312.5;308.6;308.6;308.6;304.7;308.6;304.7;304.7;308.6;304.7;304.7;312.5;312.5;308.6;308.6;308.6;308.6;304.7;308.6;308.6;308.6;308.6;304.7	2.703	308.6	7.8	descending moan
29	Spectrogram 1	1	233.162693722	237.846945505	290.7	376.0	4.684	324.2;308.6;308.6;312.5;293.0;293.0;312.5;304.7;304.7;308.6;308.6;293.0;324.2;367.2;363.3;371.1;363.3;363.3;363.3;363.3;355.5;355.5;355.5;359.4;359.4;359.4;359.4;351.6;351.6;347.7;339.8;332.0;332.0;332.0;332.0;324.2;324.2;324.2;324.2;320.3;320.3;316.4;316.4;312.5;312.5;304.7;304.7;316.4;316.4;312.5;312.5;316.4;304.7;328.1;328.1;320.3;320.3;320.3;324.2	3.931	332.0	27.3	descending moan
30	Spectrogram 1	1	239.288253746	242.170870227	288.6	333.3	2.883	304.7;312.5;312.5;320.3;320.3;316.4;316.4;316.4;316.4;316.4;316.4;316.4;312.5;312.5;312.5;304.7;312.5;312.5;312.5;312.5;312.5;312.5;316.4;312.5;312.5;312.5;312.5;316.4;316.4;316.4;312.5;312.5;312.5;312.5;304.7;320.3	2.276	312.5	3.9	descending moan
31	Spectrogram 1	1	244.693159649	250.098065552	308.9	382.1	5.405	316.4;332.0;312.5;312.5;355.5;316.4;312.5;312.5;312.5;312.5;312.5;316.4;316.4;316.4;375.0;359.4;347.7;347.7;351.6;351.6;359.4;359.4;371.1;359.4;359.4;355.5;363.3;359.4;355.5;351.6;351.6;351.6;343.8;343.8;339.8;328.1;332.0;332.0;335.9;335.9;332.0;335.9;332.0;332.0;332.0;328.1;332.0;328.1;312.5;312.5;320.3;328.1;328.1;332.0;324.2;324.2;320.3;332.0;328.1;335.9;328.1;328.1;343.8;335.9;335.9;320.3;320.3;335.9	3.495	351.6	19.5	descending moan
32	Spectrogram 1	1	249.737738491	254.421990274	280.5	327.2	4.684	324.2;320.3;320.3;316.4;316.4;324.2;324.2;324.2;324.2;324.2;320.3;289.1;281.2;296.9;296.9;289.1;300.8;300.8;300.8;300.8;308.6;304.7;304.7;304.7;304.7;304.7;300.8;300.8;304.7;296.9;296.9;296.9;300.8;308.6;300.8;300.8;300.8;300.8;300.8;304.7;304.7;300.8;300.8;300.8;300.8;300.8;300.8;300.8;304.7;304.7;308.6;300.8;300.8;304.7;300.8;300.8;304.7;300.8;308.6	2.392	304.7	3.9	descending moan
33	Spectrogram 1	1	255.863298515	261.628531478	306.9	398.4	5.765	375.0;375.0;308.6;308.6;308.6;324.2;308.6;308.6;351.6;308.6;308.6;390.6;390.6;386.7;316.4;367.2;367.2;339.8;339.8;308.6;308.6;394.5;394.5;390.6;390.6;394.5;390.6;390.6;390.6;386.7;386.7;386.7;390.6;382.8;382.8;382.8;382.8;382.8;375.0;367.2;363.3;359.4;355.5;355.5;351.6;332.0;332.0;332.0;316.4;316.4;312.5;316.4;316.4;320.3;320.3;320.3;320.3;320.3;332.0;320.3;320.3;320.3;320.3;320.3;320.3;320.3;320.3;316.4;320.3;320.3;320.3;324.2	4.154	355.5	27.3	descending moan
34	Spectrogram 1	1	262.349185598	265.231802080	290.7	343.5	2.883	312.5;312.5;293.0;312.5;316.4;332.0;328.1;328.1;332.0;332.0;328.1;335.9;332.0;332.0;332.0;320.3;316.4;312.5;312.5;312.5;316.4;316.4;312.5;316.4;316.4;328.1;324.2;324.2;324.2;324.2;324.2;320.3;320.3;320.3;332.0	3.079	312.5	15.6	descending moan
35	Spectrogram 1	1	268.835072682	273.879651525	302.8	392.3	5.045	316.4;316.4;324.2;316.4;375.0;375.0;375.0;359.4;359.4;359.4;371.1;375.0;375.0;375.0;375.0;382.8;382.8;375.0;375.0;375.0;375.0;367.2;367.2;367.2;359.4;359.4;355.5;351.6;351.6;347.7;343.8;347.7;347.7;339.8;332.0;328.1;339.8;339.8;328.1;328.1;324.2;347.7;371.1;371.1;355.5;355.5;359.4;355.5;347.7;375.0;375.0;351.6;328.1;343.8;343.8;347.7;363.3;363.3;378.9;343.8;343.8;343.8;359.4	3.721	347.7	19.5	descending moan
36	Spectrogram 1	1	274.239978585	276.401940946	280.5	333.3	2.162	300.8;300.8;300.8;312.5;312.5;316.4;324.2;324.2;316.4;312.5;312.5;312.5;312.5;316.4;316.4;308.6;312.5;312.5;304.7;316.4;324.2;324.2;320.3;324.2;324.2;320.3	2.955	312.5	7.8	ascending moan
37	Spectrogram 1	1	280.365538608	285.049790391	306.9	388.2	4.684	308.6;355.5;355.5;316.4;312.5;312.5;351.6;386.7;382.8;382.8;382.8;382.8;375.0;375.0;375.0;367.2;367.2;371.1;371.1;367.2;367.2;367.2;363.3;359.4;355.5;351.6;351.6;351.6;343.8;339.8;324.2;320.3;320.3;320.3;320.3;320.3;324.2;324.2;324.2;324.2;324.2;320.3;320.3;320.3;332.0;328.1;328.1;320.3;320.3;320.3;320.3;355.5;355.5;355.5;324.2;324.2;320.3;320.3;320.3	3.793	351.6	19.5	descending moan
38	Spectrogram 1	1	285.770444511	288.292733933	288.6	335.4	2.522	304.7;296.9;300.8;304.7;304.7;312.5;316.4;316.4;316.4;316.4;316.4;324.2;332.0;332.0;332.0;328.1;328.1;328.1;328.1;328.1;328.1;332.0;328.1;328.1;328.1;320.3;320.3;324.2;324.2;320.3;332.0;324.2	2.869	332.0	11.7	ascending moan
39	Spectrogram 1	1	292.165114541	296.489039263	300.8	380.1	4.324	328.1;328.1;328.1;378.9;371.1;367.2;367.2;375.0;367.2;367.2;367.2;359.4;359.4;363.3;359.4;359.4;363.3;363.3;363.3;363.3;363.3;355.5;355.5;343.8;343.8;335.9;335.9;332.0;332.0;332.0;332.0;328.1;316.4;316.4;312.5;312.5;312.5;316.4;332.0;332.0;332.0;332.0;363.3;335.9;335.9;332.0;332.0;332.0;335.9;332.0;332.0;332.0;363.3;363.3;332.0	3.723	343.8	27.3	descending moan
40	Spectrogram 1	1	297.570020444	299.731982805	298.8	365.9	2.162	316.4;316.4;316.4;316.4;320.3;324.2;324.2;324.2;324.2;324.2;324.2;324.2;324.2;324.2;324.2;320.3;324.2;328.1;320.3;324.2;312.5;324.2;324.2;320.3;324.2;324.2;324.2	2.658	324.2	3.9	descending moan
41	Spectrogram 1	1	303.335253407	308.019505190	300.8	369.9	4.684	316.4;328.1;312.5;324.2;324.2;324.2;320.3;316.4;324.2;324.2;308.6;324.2;320.3;359.4;355.5;359.4;363.3;363.3;359.4;367.2;367.2;367.2;363.3;363.3;359.4;355.5;355.5;343.8;343.8;339.8;335.9;335.9;332.0;339.8;339.8;339.8;339.8;335.9;324.2;316.4;316.4;316.4;308.6;308.6;316.4;308.6;339.8;359.4;359.4;339.8;320.3;332.0;332.0;335.9;335.9;332.0;339.8;339.8;324.2	3.729	343.8	19.5	descending moan
42	Spectrogram 1	1	308.379832250	314.505392273	260.2	329.3	6.126	320.3;316.4;328.1;328.1;328.1;304.7;304.7;308.6;308.6;308.6;316.4;316.4;320.3;320.3;316.4;316.4;316.4;320.3;316.4;316.4;316.4;316.4;316.4;316.4;304.7;320.3;316.4;316.4;316.4;316.4;316.4;316.4;316.4;316.4;316.4;316.4;316.4;277.3;281.2;281.2;273.4;273.4;273.4;277.3;277.3;285.2;285.2;277.3;277.3;285.2;285.2;285.2;320.3;320.3;281.2;316.4;316.4;281.2;281.2;281.2;281.2;281.2;273.4;273.4;328.1;328.1;281.2;281.2;316.4;316.4;285.2;285.2;285.2;316.4;316.4;320.3;320.3	2.514	316.4	7.8	descending moan
43	Spectrogram 1	1	317.748335815	323.873895838	317.1	435.0	6.126	320.3;320.3;320.3;320.3;355.5;320.3;375.0;378.9;378.9;398.4;425.8;425.8;425.8;418.0;410.2;410.2;406.2;394.5;390.6;390.6;386.7;386.7;378.9;382.8;378.9;375.0;375.0;375.0;363.3;363.3;343.8;343.8;335.9;335.9;335.9;335.9;335.9;332.0;335.9;363.3;386.7;390.6;390.6;386.7;390.6;382.8;382.8;386.7;335.9;375.0;375.0;378.9;378.9;375.0;355.5;355.5;355.5;355.5;335.9;335.9;382.8;382.8;429.7;378.9;378.9;375.0;375.0;371.1;320.3;320.3;320.3;320.3;320.3;320.3;320.3;320.3;320.3	3.987	320.3	54.7	descending moan
44	Spectrogram 1	1	322.072260537	325.315204079	278.5	329.3	3.243	281.2;281.2;293.0;328.1;328.1;281.2;281.2;324.2;281.2;324.2;328.1;281.2;296.9;300.8;304.7;300.8;304.7;312.5;316.4;316.4;320.3;316.4;316.4;316.4;316.4;316.4;316.4;316.4;304.7;320.3;316.4;316.4;312.5;312.5;316.4;316.4;316.4;312.5;312.5;312.5;312.5	2.597	316.4	7.8	ascending moan
45	Spectrogram 1	1	333.242399403	337.566324126	290.7	398.4	4.324	300.8;300.8;293.0;293.0;324.2;328.1;371.1;293.0;293.0;312.5;386.7;394.5;390.6;386.7;382.8;371.1;371.1;390.6;394.5;394.5;386.7;386.7;382.8;382.8;382.8;382.8;378.9;378.9;367.2;367.2;367.2;347.7;347.7;343.8;335.9;335.9;335.9;343.8;316.4;316.4;332.0;367.2;367.2;382.8;382.8;335.9;335.9;371.1;363.3;363.3;367.2;367.2;367.2;367.2	4.085	347.7	31.2	descending moan
46	Spectrogram 1	1	338.286978246	342.250575908	270.3	329.3	3.964	285.2;285.2;289.1;289.1;308.6;273.4;281.2;285.2;293.0;293.0;289.1;293.0;300.8;300.8;308.6;316.4;296.9;293.0;293.0;320.3;308.6;293.0;289.1;308.6;308.6;289.1;289.1;289.1;289.1;296.9;328.1;320.3;296.9;296.9;289.1;293.0;293.0;300.8;300.8;273.4;300.8;300.8;293.0;293.0;289.1;293.0;304.7;304.7;293.0	3.091	300.8	11.7	ascending moan
47	Spectrogram 1	1	348.376135932	353.420714775	294.7	386.2	5.045	347.7;347.7;296.9;300.8;300.8;339.8;339.8;316.4;382.8;347.7;347.7;378.9;378.9;375.0;363.3;363.3;375.0;375.0;375.0;363.3;367.2;371.1;375.0;371.1;375.0;375.0;375.0;371.1;367.2;367.2;359.4;359.4;347.7;347.7;332.0;332.0;328.1;332.0;320.3;320.3;316.4;328.1;328.1;320.3;320.3;328.1;328.1;328.1;332.0;359.4;359.4;359.4;359.4;375.0;335.9;335.9;359.4;359.4;367.2;332.0;332.0;371.1;371.1	3.692	359.4	15.6	descending moan
48	Spectrogram 1	1	354.141368895	355.943004196	276.4	317.1	1.802	285.2;296.9;296.9;300.8;308.6;308.6;308.6;308.6;304.7;300.8;308.6;304.7;304.7;308.6;296.9;296.9;296.9;296.9;296.9;308.6;300.8;293.0	2.977	308.6	11.7	ascending moan
49	Spectrogram 1	1	362.068564219	366.392488942	319.1	406.5	4.324	320.3;382.8;367.2;386.7;386.7;378.9;378.9;324.2;324.2;320.3;320.3;332.0;367.2;382.8;375.0;375.0;402.3;406.2;398.4;398.4;402.3;402.3;406.2;398.4;398.4;398.4;390.6;390.6;390.6;390.6;390.6;386.7;386.7;378.9;371.1;367.2;367.2;359.4;347.7;347.7;335.9;355.5;355.5;332.0;332.0;332.0;332.0;328.1;371.1;378.9;378.9;382.8;382.8;355.5	4.137	367.2	27.3	descending moan
50	Spectrogram 1	1	374.319684266	377.922954868	327.2	402.4	3.603	394.5;328.1;328.1;390.6;394.5;402.3;402.3;378.9;371.1;371.1;382.8;382.8;382.8;378.9;378.9;382.8;382.8;375.0;371.1;367.2;367.2;359.4;355.5;355.5;355.5;351.6;351.6;355.5;355.5;355.5;367.2;367.2;378.9;371.1;371.1;355.5;382.8;378.9;378.9;382.8;367.2;367.2;367.2;378.9;378.9	3.457	355.5	19.5	descending moan
51	Spectrogram 1	1	384.769169012	389.093093734	319.1	394.3	4.324	367.2;359.4;335.9;335.9;390.6;324.2;375.0;375.0;320.3;347.7;367.2;339.8;328.1;386.7;386.7;382.8;382.8;382.8;378.9;386.7;378.9;375.0;382.8;382.8;375.0;375.0;375.0;375.0;375.0;375.0;371.1;371.1;367.2;367.2;355.5;355.5;343.8;339.8;339.8;355.5;355.5;339.8;378.9;378.9;378.9;332.0;328.1;363.3;371.1;378.9;367.2;367.2;367.2;339.8	3.105	375.0	11.7	descending moan
52	Spectrogram 1	1	396.299634938	401.344213781	315.0	380.1	5.045	371.1;328.1;335.9;335.9;359.4;359.4;332.0;355.5;359.4;320.3;320.3;351.6;378.9;378.9;378.9;378.9;367.2;355.5;351.6;363.3;367.2;371.1;371.1;375.0;375.0;375.0;375.0;375.0;367.2;367.2;367.2;363.3;363.3;351.6;351.6;339.8;343.8;355.5;355.5;347.7;339.8;371.1;371.1;347.7;347.7;363.3;363.3;363.3;363.3;367.2;339.8;343.8;343.8;343.8;363.3;363.3;367.2;359.4;363.3;363.3;363.3;363.3;367.2;371.1	3.258	363.3	11.7	descending moan
53	Spectrogram 1	1	408.550754985	412.154025587	319.1	376.0	3.603	359.4;332.0;332.0;375.0;371.1;371.1;347.7;335.9;347.7;363.3;363.3;367.2;371.1;371.1;363.3;363.3;363.3;355.5;355.5;355.5;351.6;347.7;343.8;347.7;355.5;355.5;355.5;351.6;351.6;347.7;347.7;343.8;367.2;363.3;363.3;359.4;359.4;355.5;363.3;347.7;335.9;351.6;351.6;355.5;355.5	2.928	355.5	11.7	descending moan
54	Spectrogram 1	1	420.441547971	424.405145634	329.3	369.9	3.964	363.3;363.3;359.4;359.4;367.2;367.2;347.7;347.7;351.6;359.4;359.4;359.4;359.4;359.4;359.4;359.4;355.5;351.6;351.6;351.6;347.7;343.8;339.8;339.8;347.7;347.7;335.9;335.9;351.6;339.8;343.8;343.8;359.4;359.4;339.8;343.8;347.7;347.7;339.8;339.8;339.8;347.7;347.7;359.4;359.4;339.8;355.5;343.8;343.8;339.8	2.683	351.6	7.8	descending moan
55	Spectrogram 1	1	431.251359777	435.575284500	308.9	376.0	4.324	359.4;359.4;343.8;343.8;343.8;343.8;335.9;375.0;375.0;367.2;367.2;363.3;363.3;363.3;363.3;363.3;363.3;363.3;363.3;355.5;355.5;351.6;343.8;343.8;343.8;339.8;339.8;347.7;332.0;332.0;324.2;324.2;320.3;332.0;335.9;363.3;363.3;343.8;355.5;355.5;347.7;339.8;339.8;339.8;339.8;359.4;363.3;339.8;343.8;343.8;343.8;335.9;335.9;339.8	3.401	355.5	15.6	descending moan
