Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq Contour (Hz)	Agg Entropy (bits)	Peak Freq (Hz)	IQR BW (Hz)	Description
81	Spectrogram 1	1	244.329887812	245.419260224	772.4	1006.3	1.089	835.9;804.7;804.7;867.2;828.1;921.9;875.0;1000.0;875.0;843.8;921.9;867.2;906.2;851.6;875.0;812.5;890.6	4.879	921.9	109.4	ascending shriek
82	Spectrogram 1	1	248.687377461	249.912921425	129.4	296.5	1.226	250.0;250.0;242.2;242.2;265.6;289.1;257.8;250.0;210.9;265.6;265.6;140.6;171.9;210.9;132.8;132.8;140.6;132.8;289.1	4.228	250.0	70.3	long grunt
83	Spectrogram 1	1	252.279582972	254.526413572	279.7	325.7	2.247	320.3;304.7;281.2;281.2;281.2;320.3;281.2;304.7;281.2;281.2;320.3;281.2;281.2;289.1;296.9;312.5;281.2;304.7;304.7;312.5;320.3;296.9;296.9;296.9;312.5;289.1;289.1;296.9;289.1;289.1;289.1;320.3;296.9;296.9;296.9	2.434	296.9	23.4	trill
84	Spectrogram 1	1	255.139185554	255.888129088	116.9	455.1	0.749	312.5;312.5;312.5;312.5;296.9;312.5;242.2;234.4;234.4;234.4;234.4;242.2	4.036	234.4	78.1	gurgle
85	Spectrogram 1	1	256.909415724	257.386016154	121.1	421.7	0.477	343.8;234.4;179.7;312.5;187.5;164.1	5.049	234.4	125.0	gurgle
86	Spectrogram 1	1	259.268451553	261.038681722	137.8	325.7	1.770	156.2;171.9;226.6;156.2;250.0;179.7;164.1;250.0;164.1;210.9;195.3;265.6;242.2;242.2;156.2;257.8;156.2;156.2;187.5;148.4;140.6;304.7;171.9;140.6;234.4;250.0	4.288	156.2	78.1	long grunt
87	Spectrogram 1	1	263.081254995	265.600428699	250.5	309.0	2.519	296.9;296.9;304.7;304.7;304.7;296.9;304.7;304.7;296.9;304.7;296.9;296.9;304.7;289.1;304.7;296.9;304.7;289.1;296.9;281.2;296.9;304.7;281.2;296.9;289.1;273.4;304.7;281.2;257.8;281.2;281.2;257.8;273.4;257.8;257.8;296.9;257.8;257.8;257.8	2.306	304.7	15.6	trill
88	Spectrogram 1	1	266.077029129	266.689801111	121.1	338.2	0.613	234.4;226.6;234.4;242.2;210.9;234.4;226.6;234.4;187.5	3.962	234.4	23.4	gurgle
89	Spectrogram 1	1	267.779173523	268.323859729	108.6	313.2	0.545	250.0;195.3;273.4;210.9;125.0;226.6;125.0	4.652	125.0	85.9	gurgle
90	Spectrogram 1	1	270.668188862	272.642676359	137.8	296.5	1.974	164.1;140.6;140.6;140.6;257.8;289.1;140.6;257.8;148.4;195.3;242.2;148.4;273.4;257.8;226.6;234.4;289.1;273.4;148.4;187.5;171.9;250.0;250.0;140.6;218.8;148.4;226.6;218.8;140.6;195.3	4.248	140.6	85.9	long grunt
91	Spectrogram 1	1	277.681023766	278.293795748	104.4	338.2	0.613	132.8;226.6;242.2;140.6;109.4;132.8;125.0;171.9;109.4	4.805	109.4	117.2	gurgle
92	Spectrogram 1	1	279.451253936	280.132111694	125.3	334.0	0.681	312.5;312.5;156.2;304.7;156.2;156.2;312.5;156.2;156.2;320.3	3.314	312.5	156.2	gurgle
93	Spectrogram 1	1	275.118820094	277.297564919	254.7	304.8	2.179	265.6;257.8;304.7;257.8;296.9;265.6;257.8;257.8;289.1;257.8;257.8;289.1;273.4;273.4;257.8;257.8;281.2;257.8;257.8;257.8;257.8;257.8;281.2;265.6;265.6;257.8;281.2;257.8;265.6;289.1;296.9;289.1;304.7	2.540	257.8	23.4	trill
95	Spectrogram 1	1	285.850772116	288.369945819	258.9	279.7	2.519	273.4;265.6;265.6;273.4;265.6;265.6;273.4;265.6;265.6;265.6;265.6;265.6;265.6;273.4;265.6;273.4;265.6;273.4;273.4;265.6;265.6;273.4;265.6;265.6;265.6;265.6;273.4;265.6;265.6;273.4;265.6;265.6;265.6;265.6;265.6;273.4;265.6;273.4	0.997	265.6	7.8	trill
96	Spectrogram 1	1	290.412519092	290.889119523	116.9	359.1	0.477	179.7;179.7;117.2;343.8;351.6;351.6;179.7	4.348	179.7	140.6	gurgle
97	Spectrogram 1	1	292.387006589	294.633837190	171.2	229.6	2.247	179.7;226.6;171.9;171.9;171.9;179.7;171.9;226.6;171.9;179.7;171.9;187.5;226.6;195.3;179.7;203.1;218.8;226.6;171.9;187.5;195.3;179.7;218.8;179.7;203.1;203.1;218.8;226.6;187.5;179.7;226.6;187.5;218.8;171.9	2.981	195.3	31.2	descending moan
98	Spectrogram 1	1	296.608324687	299.399841493	258.9	292.3	2.792	265.6;273.4;265.6;273.4;289.1;281.2;273.4;273.4;265.6;281.2;265.6;273.4;289.1;289.1;281.2;265.6;289.1;281.2;273.4;281.2;289.1;281.2;289.1;289.1;281.2;265.6;265.6;289.1;289.1;273.4;289.1;265.6;273.4;273.4;265.6;289.1;265.6;289.1;265.6;281.2;265.6;281.2;265.6	1.990	265.6	23.4	trill
99	Spectrogram 1	1	299.536013045	300.012613475	91.9	250.5	0.477	179.7;179.7;179.7;179.7;179.7;234.4	3.823	179.7	31.2	gurgle
100	Spectrogram 1	1	300.693471233	301.442414766	96.0	329.9	0.749	179.7;132.8;171.9;101.6;210.9;101.6;234.4;312.5;218.8;187.5;101.6	4.817	218.8	109.4	gurgle
101	Spectrogram 1	1	288.786630618	289.535574151	116.9	271.4	0.749	203.1;234.4;203.1;257.8;125.0;171.9;171.9;179.7;179.7;171.9	3.917	171.9	39.1	gurgle
103	Spectrogram 1	1	307.793999665	309.768487163	238.0	304.8	1.974	265.6;265.6;273.4;289.1;273.4;242.2;273.4;296.9;242.2;273.4;257.8;250.0;304.7;242.2;242.2;250.0;257.8;304.7;273.4;242.2;257.8;289.1;289.1;304.7;304.7;304.7;257.8;281.2;304.7;304.7	3.160	242.2	31.2	trill
