Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq Contour (Hz)	Agg Entropy (bits)	Peak Freq (Hz)	IQR BW (Hz)	Unit Type	Contour	Description
42	Spectrogram 1	1	241.974045251	244.336330524	153.0	424.4	2.362	207.0;207.0;207.0;207.0;210.9;207.0;207.0;207.0;207.0;203.1;207.0;207.0;203.1;203.1;203.1;203.1;195.3;382.8;386.7;187.5;187.5;371.1;179.7;175.8;175.8;343.8;171.9;171.9;347.7	4.617	207.0	175.8	D	1	descending moan
43	Spectrogram 1	1	255.044203456	256.657471447	156.6	410.7	1.613	183.6;199.2;195.3;191.4;195.3;199.2;195.3;195.3;195.3;191.4;191.4;187.5;183.6;183.6;183.6;363.3;175.8;175.8;367.2;363.3	4.373	191.4	175.8	D	1	descending moan
44	Spectrogram 1	1	265.691186925	267.275646559	153.0	386.2	1.584	171.9;168.0;347.7;355.5;359.4;363.3;363.3;367.2;367.2;183.6;367.2;359.4;359.4;355.5;347.7;339.8;335.9;335.9;347.7;347.7	4.245	359.4	179.7	D	1	descending moan
45	Spectrogram 1	1	273.844658988	275.759493938	117.5	391.6	1.915	136.7;140.6;160.2;160.2;168.0;168.0;140.6;148.4;148.4;160.2;168.0;175.8;191.4;359.4;359.4;375.0;375.0;375.0;386.7;152.3;359.4;371.1;371.1	5.993	148.4	168.0	F	1	bellow
46	Spectrogram 1	1	276.874129351	277.304056814	163.9	429.0	0.430	179.7;199.2;199.2;281.2;261.7	5.384	199.2	66.4	G	1	gurgle
47	Spectrogram 1	1	278.833097626	279.265222981	146.6	388.0	0.432	191.4;191.4;222.7;328.1	5.420	191.4	58.6	G	1	gurgle
48	Spectrogram 1	1	280.590407402	281.051341114	153.9	385.2	0.461	179.7;226.6;226.6;234.4;304.7	5.171	226.6	54.7	G	1	gurgle
49	Spectrogram 1	1	282.745471226	284.128272361	105.6	339.7	1.383	273.4;273.4;273.4;285.2;273.4;293.0;273.4;285.2;285.2;261.7;273.4;273.4;156.2;156.2;168.0;171.9	5.465	273.4	101.6	F	1	bellow
50	Spectrogram 1	1	285.799157066	287.786933698	117.5	308.7	1.988	250.0;156.2;156.2;156.2;160.2;238.3;238.3;230.5;230.5;238.3;238.3;230.5;230.5;246.1;238.3;250.0;250.0;257.8;230.5;234.4;234.4;246.1;152.3;160.2	5.225	250.0	66.4	F	1	bellow
51	Spectrogram 1	1	289.164172049	289.452255619	153.0	378.9	0.288	210.9;210.9	5.276	210.9	70.3	G	1	gurgle
52	Spectrogram 1	1	290.863865111	291.382415537	139.3	400.7	0.519	175.8;199.2;199.2;238.3;371.1	5.238	199.2	54.7	G	1	gurgle
53	Spectrogram 1	1	292.333091317	292.794025029	136.6	409.8	0.461	152.3;187.5;199.2;199.2;253.9	5.403	199.2	70.3	G	1	gurgle
54	Spectrogram 1	1	293.312575455	293.715892452	148.5	179.4	0.403	168.0;164.1;164.1;168.0	2.396	164.1	7.8	H	0	grunt (short)
55	Spectrogram 1	1	294.062472945	294.449514052	153.0	183.1	0.387	179.7;168.0;168.0;168.0	2.488	168.0	7.8	H	0	grunt (short)
56	Spectrogram 1	1	295.243966850	295.549525619	173.0	200.4	0.306	183.6;183.6;187.5	2.302	183.6	3.9	H	0	grunt (short)
57	Spectrogram 1	1	295.895825557	296.364349002	142.1	193.1	0.469	164.1;160.2;160.2;171.9;179.7	3.082	160.2	11.7	H	0	grunt (short)
58	Spectrogram 1	1	296.608796017	296.995837124	139.3	192.2	0.387	156.2;152.3;152.3;160.2	2.920	152.3	7.8	H	0	grunt (short)
59	Spectrogram 1	1	298.674772923	299.917378583	112.0	285.1	1.243	257.8;277.3;269.5;253.9;250.0;222.7;234.4;250.0;250.0;230.5;230.5;234.4;253.9;148.4	5.136	230.5	78.1	F	1	bellow
60	Spectrogram 1	1	301.916332456	303.118196946	103.8	266.8	1.202	238.3;234.4;230.5;242.2;226.6;238.3;218.8;226.6;234.4;234.4;203.1;210.9;242.2;253.9	5.010	234.4	62.5	F	1	bellow
61	Spectrogram 1	1	304.503396697	304.808955466	148.5	376.1	0.306	191.4;261.7;261.7	5.417	261.7	58.6	G	1	gurgle
62	Spectrogram 1	1	306.520084570	306.846013924	164.8	373.4	0.326	187.5;187.5;242.2	5.502	187.5	85.9	G	1	gurgle
63	Spectrogram 1	1	308.102865969	308.408424737	154.8	198.5	0.306	168.0;168.0;171.9	2.715	168.0	7.8	H	0	grunt (s)
64	Spectrogram 1	1	308.754724675	309.141765782	144.8	182.1	0.387	160.2;164.1;164.1;168.0	2.531	164.1	7.8	H	0	grunt (s)
65	Spectrogram 1	1	309.488065720	309.854736242	147.5	178.5	0.367	164.1;160.2;160.2;160.2	2.494	160.2	3.9	H	0	grunt (s)
66	Spectrogram 1	1	311.036230148	311.362159501	151.2	219.5	0.326	175.8;175.8;207.0	3.481	175.8	11.7	H	0	grunt (s)
67	Spectrogram 1	1	312.034388792	312.299206392	145.7	177.6	0.265	160.2;160.2	2.708	160.2	11.7	H	0	grunt (s)
68	Spectrogram 1	1	312.828841591	313.114029775	157.6	194.9	0.285	171.9;171.9	2.630	171.9	7.8	H	0	grunt (s)
69	Spectrogram 1	1	313.390536893	313.851470604	137.8	179.0	0.461	152.3;156.2;168.0;168.0;168.0	3.046	168.0	15.6	H	0	grunt (s)
